hello;salute
good morning;salute
hi;salute
bye;bye
see ya;bye
good bye;bye
that will be all;bye
i need help;help
help please;help
what can i do;help
i would like to take my measurements;get_measurements
measure myself;get_measurements
take measurements;get_measurements
i want a new table;new_table
new table;new_table
i want a different table;new_table
i would like to start my training session;start_training
let's start training;start_training
begin training session;start_training
hello;salute
good morning;salute
hi sam;salute
good bye;bye
bye sam;bye
see you later;bye
I need help;help
what can i do;help
what commands can i say;help
help;help
i would like to measure myself;get_measurements
i want to measure myself;get_measurements
new measurements;get_measurements
configure a new table for me;new_table
create new table;new_table
i want a new table;new_table
let's start training;start_training
time to train;start_training
start training session;start_training
hello;salute
good morning;salute
hi sam;salute
good afternoon;salute
good bye;bye
bye sam;bye
see you later;bye
I need help;help
what can i do;help
what commands can i say;help
help;help
i would like to measure myself;get_measurements
i want to measure myself;get_measurements
new measurements;get_measurements
configure a new table for me;new_table
create new table;new_table
i want a new table;new_table
let's start training;start_training
time to train;start_training
start training session;start_training
hello;salute
good morning;salute
hi sam;salute
good afternoon;salute
good bye;bye
bye sam;bye
see you later;bye
that will be all;bye
I need help;help
what can i do;help
what commands can i say;help
help;help
i would like to measure myself;get_measurements
i want to measure myself;get_measurements
i want to weigh myself;get_measurements
new measurements;get_measurements
configure a new table for me;new_table
create new table;new_table
i want a new table;new_table
can you send me a new table?;new_table
let's start training;start_training
time to train;start_training
start training session;start_training
hello;salute
good morning;salute
hi sam;salute
good afternoon;salute
good bye;bye
bye sam;bye
see you later;bye
that will be all;bye
I need help;help
what can i do;help
what commands can i say;help
help;help
i would like to measure myself;get_measurements
i want to measure myself;get_measurements
i want to weigh myself;get_measurements
new measurements;get_measurements
configure a new table for me;new_table
create new table;new_table
i want a new table;new_table
can you send me a new table?;new_table
let's start training;start_training
time to train;start_training
start training session;start_training
hello;salute
good morning;salute
hi sam;salute
good afternoon;salute
good bye;bye
bye sam;bye
see you later;bye
that will be all;bye
I need help;help
what can i do;help
what commands can i say;help
help;help
i would like to measure myself;get_measurements
i want to measure myself;get_measurements
i want to weigh myself;get_measurements
new measurements;get_measurements
configure a new table for me;new_table
create new table;new_table
i want a new table;new_table
can you send me a new table?;new_table
let's start training;start_training
time to train;start_training
start training session;start_training
hello;salute
good morning;salute
hi sam;salute
good afternoon;salute
good bye;bye
bye sam;bye
see you later;bye
that will be all;bye
I need help;help
what can i do;help
what commands can i say;help
help;help
i would like to measure myself;get_measurements
i want to measure myself;get_measurements
i want to weigh myself;get_measurements
new measurements;get_measurements
configure a new table for me;new_table
create new table;new_table
i want a new table;new_table
can you send me a new table?;new_table
let's start training;start_training
time to train;start_training
start training session;start_training
